datetime,close,high,low,open,volume
20-10-2016 00:00,155.25,156.25,151.65,151.8,8035617
21-10-2016 00:00,151.85,155.4,150.85,155.4,5801324
24-10-2016 00:00,150.85,153.15,150.4,152.15,5649471
25-10-2016 00:00,150.5,152.5,147.65,151.2,8898884
26-10-2016 00:00,150.2,152.25,148.6,149.9,6191861
27-10-2016 00:00,148.3,150.85,147.4,150.2,8386282
28-10-2016 00:00,149.65,150.4,148,148.5,4501956
30-10-2016 00:00,149.75,150.25,149.4,150,429601
01-11-2016 00:00,156.95,159.5,149.7,150.5,17722418
02-11-2016 00:00,156.5,158.2,153.15,154.8,11309743
03-11-2016 00:00,162.8,166.4,156.75,156.95,26147206
04-11-2016 00:00,158.85,164.95,154.75,164,14042173
07-11-2016 00:00,167.6,168.75,161.4,162.75,13926778
08-11-2016 00:00,167.4,172.4,165.85,170,23431723
09-11-2016 00:00,162.1,163.65,150.7,150.7,11328441
10-11-2016 00:00,175.75,177.35,167,168.5,16275443
11-11-2016 00:00,172.3,178.1,171.05,174.1,13455096
15-11-2016 00:00,167.75,180.65,166.5,175.7,30748024
16-11-2016 00:00,162.8,172.7,161.2,171.8,11909724
17-11-2016 00:00,168.3,169.8,162,164,10560503
18-11-2016 00:00,165.35,169.3,163.6,169,8775559
21-11-2016 00:00,157.35,170.8,156.1,166.5,16027161
22-11-2016 00:00,166.55,167.3,158.65,158.85,15431966
23-11-2016 00:00,173.7,174.3,168,168.95,15975588
24-11-2016 00:00,180.45,181.15,172.15,173.5,24353559
25-11-2016 00:00,180.5,184.8,178.85,182.9,17338861
28-11-2016 00:00,178.65,182.35,177.7,180.3,12519439
29-11-2016 00:00,175.4,180.85,174.8,179.7,9819481
30-11-2016 00:00,175.75,178.7,172.8,175,15095725
01-12-2016 00:00,171.35,177.5,169.7,176.8,7638033
02-12-2016 00:00,168.75,174.15,167.5,170.95,11034636
05-12-2016 00:00,174.5,175.4,167.8,168.5,9144499
06-12-2016 00:00,175.4,177.85,174.2,176.95,8668165
07-12-2016 00:00,175.05,176.8,172.45,176.5,6213861
08-12-2016 00:00,179.2,181.4,176.3,177.45,9432763
09-12-2016 00:00,182.1,183.45,179.05,180.45,9543322
12-12-2016 00:00,181.95,183.2,179.25,180.8,8051004
13-12-2016 00:00,176.95,182.65,175.25,181.55,9690930
14-12-2016 00:00,176,178.2,174.85,177.25,6198952
15-12-2016 00:00,176.1,177.4,173.2,173.4,6165323
16-12-2016 00:00,170.2,176.9,169.1,176.9,9584392
19-12-2016 00:00,169.15,171.75,168.1,169.4,5526669
20-12-2016 00:00,167.15,169.75,165.35,169.7,5435726
21-12-2016 00:00,168.8,171,166.55,168,6539566
22-12-2016 00:00,161.25,168.7,160.25,168.7,9593033
23-12-2016 00:00,159.3,162.1,158.85,161,9804162
26-12-2016 00:00,151.5,157.5,149.7,157.5,10229442
27-12-2016 00:00,155.55,156.6,147.85,150.3,10782163
28-12-2016 00:00,153.6,158.25,152.6,156.5,9007119
29-12-2016 00:00,154.75,155.55,152.3,153.1,7714023
30-12-2016 00:00,155.05,156.2,153.25,155,8199773
02-01-2017 00:00,158.85,159.75,154.2,155.85,9537127
03-01-2017 00:00,158.85,161,157.05,159.85,6841113
04-01-2017 00:00,158.9,161.6,157.45,158.9,7732019
05-01-2017 00:00,162,162.65,159.9,160,9921362
06-01-2017 00:00,160.75,163.8,160.1,162.45,6830935
09-01-2017 00:00,158,162.2,157.65,161.6,6143220
10-01-2017 00:00,164.4,165.4,158,159.15,15806841
11-01-2017 00:00,174.95,175.65,166.45,167.1,24145144
12-01-2017 00:00,177,178.6,172.4,175.6,14225168
13-01-2017 00:00,172.25,178.8,170.85,178.8,17430533
16-01-2017 00:00,172.6,174.35,169.9,172,9673403
17-01-2017 00:00,171.05,174.8,169.3,173.6,7373767
18-01-2017 00:00,177,177.35,171.6,171.8,13047979
19-01-2017 00:00,176.1,177.25,173.5,176.3,8384318
20-01-2017 00:00,171.65,178.35,169.5,175.6,12034397
23-01-2017 00:00,181.7,182.4,172.25,173,18223180
24-01-2017 00:00,187.15,187.85,181.05,182.6,17125785
25-01-2017 00:00,190.75,191.65,187.15,187.4,21241955
27-01-2017 00:00,190.75,195,188.05,190.5,19584307
30-01-2017 00:00,191.5,195.3,186.95,190.05,12048505
31-01-2017 00:00,189.95,193.2,189.2,191.95,9510113
01-02-2017 00:00,198.85,200,186.55,190.9,12602860
02-02-2017 00:00,193.3,198.5,191.5,198.5,12723782
03-02-2017 00:00,191.75,195.4,188.25,194,11316589
